	company_name	industry_name	industryID	first_date	first_employees_on_platform	first_followers_count	last_date	last_employees_on_platform	last_followers_count	slope1	r_value1	slope2	r_value2	z-score1	z-score2	industry_total
2066	Bank of The James	Banking	5	2016-12-24 00:00:00	75	207	2018-07-17 00:00:00	92	302	5.718054887436136	0.98322701042142	-1.7455764545033658e-05	-0.04573586751493608	-0.26708386458683914	-0.07538284587764561	327
2096	DNB First	Banking	5	2016-11-19 00:00:00	127	578	2018-07-17 00:00:00	197	922	15.219898727231733	0.9949855181254438	-3.271722114252921e-05	-0.13358745018034934	-0.260019431054966	-0.07846650921030789	327
2099	Atlantic Capital Bank	Banking	5	2017-01-01 00:00:00	138	887	2018-07-17 00:00:00	610	1359	25.109102445748984	0.9978002193506097	-2.1266322753102743e-05	-0.09978572096590654	-0.252667003091456	-0.07615279064328	327
2125	Western Alliance Bancorporation	Banking	5	2016-09-12 00:00:00	1227	1602	2018-07-17 00:00:00	1672	2766	50.35295874561282	0.9782542647811905	3.351931877566697e-05	0.20501570782777492	-0.23389869370589764	-0.06508304295180667	327
2146	Illinois Bank &amp; Trust	Banking	5	2016-11-21 00:00:00	57	178	2017-02-01 00:00:00	54	187	2.9766901272027972	0.7459689314240844	0.018947380655092383	0.8667277118405792	-0.26912201523020995	3.756569255389732	327
2166	Civista Bank	Banking	5	2016-11-19 00:00:00	182	543	2018-07-17 00:00:00	231	775	11.350774174115323	0.9884259753177713	6.928269426780723e-06	0.030657282592518962	-0.2628960488665062	-0.07045591436354529	327
2179	Camden National Bank	Banking	5	2016-11-19 00:00:00	400	1221	2018-07-17 00:00:00	479	1876	33.74267693944331	0.9851931636127972	1.8315675018708572e-05	0.12371794395820855	-0.24624811069735716	-0.06815502487415386	327
2186	Sterling National Bank	Banking	5	2016-11-23 00:00:00	654	3098	2018-07-17 00:00:00	1497	5267	120.37262449560721	0.9793343078881575	1.7108997570880508e-05	0.09923125224522637	-0.18184045291024029	-0.06839884085439446	327
2199	Old Point National Bank	Banking	5	2017-02-17 00:00:00	197	880	2018-07-17 00:00:00	213	966	5.477948553210895	0.9907190428834434	6.6219009814624674e-06	0.0538957612580402	-0.26726237891177596	-0.0705178178348868	327
2234	Lake Shore Savings Bank	Banking	5	2017-01-28 00:00:00	49	189	2018-07-17 00:00:00	58	231	1.9419254677959292	0.9690146688665051	-4.310344626920901e-06	-0.014205152528127865	-0.2698913423503732	-0.07272673968391673	327
